ds,yhat
2018-07-05 00:03:30,6.625474571541657
2018-07-05 00:13:30,6.6243029908833435
2018-07-05 00:23:30,6.667977612062687
2018-07-05 00:33:30,6.746095150022166
2018-07-05 00:43:30,6.847921921118131
2018-07-05 00:53:30,6.962770428412103
2018-07-05 01:03:30,7.080371932159673
2018-07-05 01:13:30,7.1912333144723295
2018-07-05 01:23:30,7.286967034882565
2018-07-05 01:33:30,7.3605838112223925
2018-07-05 01:43:30,7.406738809149568
2018-07-05 01:53:30,7.421923562190305
2018-07-05 02:03:30,7.404597517125245
2018-07-05 02:13:30,7.355254963924061
2018-07-05 02:23:30,7.276425103939678
2018-07-05 02:33:30,7.1726050754234425
2018-07-05 02:43:30,7.050127828022569
2018-07-05 02:53:30,6.916968757076241
2018-07-05 03:03:30,6.782496905512696
2018-07-05 03:13:30,6.657178269455805
2018-07-05 03:23:30,6.552240237095033
2018-07-05 03:33:30,6.479307415166806
2018-07-05 03:43:30,6.450020007740832
2018-07-05 03:53:30,6.475646482502109
2018-07-05 04:03:30,6.566702475699344
2018-07-05 04:13:30,6.732587735561628
2018-07-05 04:23:30,6.981252393159238
2018-07-05 04:33:30,7.318902996869015
2018-07-05 04:43:30,7.749757568212786
2018-07-05 04:53:30,8.275857482885433
2018-07-05 05:03:30,8.8969422787256
2018-07-05 05:13:30,9.610391603755122
2018-07-05 05:23:30,10.411236507546105
2018-07-05 05:33:30,11.292240175050315
2018-07-05 05:43:30,12.244046123988706
2018-07-05 05:53:30,13.255389824309557
2018-07-05 06:03:30,14.31336780389519
2018-07-05 06:13:30,15.403756530972615
2018-07-05 06:23:30,16.5113718734523
2018-07-05 06:33:30,17.620458678123722
2018-07-05 06:43:30,18.71509909065619
2018-07-05 06:53:30,19.77962766381557
2018-07-05 07:03:30,20.799041059915982
2018-07-05 07:13:30,21.75939030600645
2018-07-05 07:23:30,22.648144057659923
2018-07-05 07:33:30,23.45451219338416
2018-07-05 07:43:30,24.16972021310174
2018-07-05 07:53:30,24.78722639802983
2018-07-05 08:03:30,25.30287537566832
2018-07-05 08:13:30,25.714983634980968
2018-07-05 08:23:30,26.024354568976424
2018-07-05 08:33:30,26.23422271478243
2018-07-05 08:43:30,26.350128977780216
2018-07-05 08:53:30,26.379730681121096
2018-07-05 09:03:30,26.332552222977476
2018-07-05 09:13:30,26.219683886080517
2018-07-05 09:23:30,26.05343788337725
2018-07-05 09:33:30,25.84697198374919
2018-07-05 09:43:30,25.613892013109698
2018-07-05 09:53:30,25.36784513148538
2018-07-05 10:03:30,25.122116038096163
2018-07-05 10:13:30,24.88923813736948
2018-07-05 10:23:30,24.68063121952686
2018-07-05 10:33:30,24.506276376821404
2018-07-05 10:43:30,24.374437730677016
2018-07-05 10:53:30,24.29143910060304
2018-07-05 11:03:30,24.261502065599924
2018-07-05 11:13:30,24.286649992834157
2018-07-05 11:23:30,24.366680595322663
2018-07-05 11:33:30,24.499207496487443
2018-07-05 11:43:30,24.679769181168016
2018-07-05 11:53:30,24.902001666933245
2018-07-05 12:03:30,25.157869301888375
2018-07-05 12:13:30,25.43794633339433
2018-07-05 12:23:30,25.73174036454821
2018-07-05 12:33:30,26.028047554433854
2018-07-05 12:43:30,26.315328467609405
2018-07-05 12:53:30,26.582092873203962
2018-07-05 13:03:30,26.817281538816236
2018-07-05 13:13:30,27.010633177040468
2018-07-05 13:23:30,27.153025176985203
2018-07-05 13:33:30,27.23677757510794
2018-07-05 13:43:30,27.255910857491415
2018-07-05 13:53:30,27.206349617533586
2018-07-05 14:03:30,27.0860657609756
2018-07-05 14:13:30,26.89515681474642
2018-07-05 14:23:30,26.63585689277202
2018-07-05 14:33:30,26.31247994265882
2018-07-05 14:43:30,25.931296981368096
2018-07-05 14:53:30,25.50035105878761
2018-07-05 15:03:30,25.029215598446925
2018-07-05 15:13:30,24.52870351687166
2018-07-05 15:23:30,24.010536031442058
2018-07-05 15:33:30,23.486981316388466
2018-07-05 15:43:30,22.970474105050844
2018-07-05 15:53:30,22.47322792616872
2018-07-05 16:03:30,22.006851907753276
2018-07-05 16:13:30,21.58198395891539
2018-07-05 16:23:30,21.207951655955892
2018-07-05 16:33:30,20.89247132581815
2018-07-05 16:43:30,20.641394677323614
2018-07-05 16:53:30,20.45851089251674
2018-07-05 17:03:30,20.345410411463014
2018-07-05 17:13:30,20.301414781941588
2018-07-05 17:23:30,20.323574938087074
2018-07-05 17:33:30,20.406738200973184
2018-07-05 17:43:30,20.543682207661604
2018-07-05 17:53:30,20.72531194253491
2018-07-05 18:03:30,20.9409141290877
2018-07-05 18:13:30,21.178461495617476
2018-07-05 18:23:30,21.4249579091076
2018-07-05 18:33:30,21.666814129899812
2018-07-05 18:43:30,21.890242998678733
2018-07-05 18:53:30,22.08166227583156
2018-07-05 19:03:30,22.22809311022112
2018-07-05 19:13:30,22.31754223793701
2018-07-05 19:23:30,22.339356496512384
2018-07-05 19:33:30,22.284539070332393
2018-07-05 19:43:30,22.146018030499178
2018-07-05 19:53:30,21.91885917000398
2018-07-05 20:03:30,21.6004168096062
2018-07-05 20:13:30,21.190418120935643
2018-07-05 20:23:30,20.69097851203921
2018-07-05 20:33:30,20.106547697615937
2018-07-05 20:43:30,19.44378816011915
2018-07-05 20:53:30,18.711389746212987
2018-07-05 21:03:30,17.919826052804137
2018-07-05 21:13:30,17.08106000594972
2018-07-05 21:23:30,16.208207561494692
2018-07-05 21:33:30,15.31516968846843
2018-07-05 21:43:30,14.416243755607068
2018-07-05 21:53:30,13.525726021248424
2018-07-05 22:03:30,12.657517183384996
2018-07-05 22:13:30,11.82474282238443
2018-07-05 22:23:30,11.03940009798323
2018-07-05 22:33:30,10.312041226849292
2018-07-05 22:43:30,9.651503132915266
2018-07-05 22:53:30,9.064691238971163
2018-07-05 23:03:30,8.556423687314998
2018-07-05 23:13:30,8.129340436478458
2018-07-05 23:23:30,7.7838796741981415
2018-07-05 23:33:30,7.51832193326336
2018-07-05 23:43:30,7.328900219770887
2018-07-05 23:53:30,7.209972446048109
