ds,CPU_util,smoothed_CPU
2018-06-29 05:45:10,11,8.863056203844115
2018-06-29 05:49:30,13,9.276751665558486
2018-06-29 05:51:20,10,9.349076669264399
2018-06-29 05:53:20,11,9.514169352121199
2018-06-29 06:02:00,12,9.762752890917488
2018-06-29 06:06:40,12,9.986477985772396
2018-06-29 06:09:20,13,10.287830652645908
2018-06-29 06:20:50,14,10.65904810340495
2018-06-29 06:28:40,15,11.093143836151238
2018-06-29 06:36:30,27,12.68383124359997
2018-06-29 06:39:30,23,13.715449164652293
2018-06-29 06:40:50,16,13.943904456546163
2018-06-29 07:01:40,21,14.649514590078226
2018-06-29 07:12:10,23,15.484563747961223
2018-06-29 07:15:10,24,16.336107939333942
2018-06-29 07:29:30,28,17.502497843351712
2018-06-29 07:30:40,24,18.152248408937904
2018-06-29 07:46:00,24,18.737023851480387
2018-06-29 08:15:10,28,19.663321870405085
2018-06-29 08:28:20,31,20.796990128443785
2018-06-29 08:30:50,27,21.41729133477715
2018-06-29 08:32:50,26,21.875562347032712
2018-06-29 08:44:50,26,22.288006230373387
2018-06-29 08:59:40,27,22.759205728710192
2018-06-29 09:01:50,27,23.183285254152224
2018-06-29 09:28:10,27,23.564956808370567
2018-06-29 09:45:10,26,23.808461173258713
2018-06-29 09:47:50,24,23.827615059169883
2018-06-29 10:25:50,23,23.74485354066473
2018-06-29 10:27:50,24,23.770368190091
2018-06-29 10:31:20,26,23.993331398551486
2018-06-29 10:44:10,24,23.99399825877028
2018-06-29 10:58:50,23,23.894598422973754
2018-06-29 11:04:00,24,23.90513858162304
2018-06-29 11:35:30,28,24.31462475656075
2018-06-29 12:02:20,29,24.783162314990662
2018-06-29 12:25:40,25,24.804846084911336
2018-06-29 12:29:30,29,25.224361501141107
2018-06-29 12:37:00,25,25.201925349837104
2018-06-29 12:40:30,29,25.581732832982023
2018-06-29 12:44:20,29,25.923559564368013
2018-06-29 12:49:30,29,26.231203619825408
2018-06-29 12:50:40,26,26.208083257038375
2018-06-29 12:55:00,26,26.187274930682893
2018-06-29 13:05:10,26,26.168547437086772
2018-06-29 13:08:40,24,25.951692687877294
2018-06-29 13:13:40,25,25.856523416916886
2018-06-29 13:26:50,23,25.57087106935599
2018-06-29 13:46:00,26,25.61378396321394
2018-06-29 13:57:30,27,25.7524055691996
2018-06-29 14:03:40,24,25.57716500965479
2018-06-29 14:08:00,24,25.41944850656319
2018-06-29 14:21:50,24,25.27750365418471
2018-06-29 14:23:00,25,25.24975328846322
2018-06-29 14:27:00,25,25.224777959371455
2018-06-29 14:28:20,27,25.402300165004437
2018-06-29 14:29:10,25,25.362070148183754
2018-06-29 14:35:10,27,25.525863134538824
2018-06-29 14:38:40,24,25.3732768201011
2018-06-29 14:41:40,23,25.13594913671378
2018-06-29 14:47:40,24,25.02235422244913
2018-06-29 14:55:40,23,24.820118799253628
2018-06-29 14:56:10,24,24.738106918981323
2018-06-29 15:07:30,27,24.96429622794437
2018-06-29 15:23:10,24,24.867866604819508
2018-06-29 15:25:30,26,24.9810799446867
2018-06-29 15:44:30,24,24.882971949945727
2018-06-29 15:48:00,21,24.49467475398119
2018-06-29 15:58:30,26,24.645207278921497
2018-06-29 16:07:20,24,24.580686550898797
2018-06-29 16:25:10,21,24.222617895156862
2018-06-29 16:25:30,23,24.100356105440795
2018-06-29 16:36:50,19,23.59032049414439
2018-06-29 16:48:30,24,23.63128844478434
2018-06-29 17:01:00,19,23.168159599752567
2018-06-29 17:16:10,20,22.851343639436635
2018-06-29 17:28:00,18,22.36620927502347
2018-06-29 17:31:30,22,22.329588347489224
2018-06-29 17:40:00,18,21.896629512400906
2018-06-29 17:40:50,18,21.506966560885903
2018-06-29 18:11:00,19,21.25626990463813
2018-06-29 18:23:50,19,21.030642914045384
