ds,yhat_upper
2018-07-04 22:00:50,16.57643673510827
2018-07-04 22:10:50,16.53206636458575
2018-07-04 22:20:50,16.472182692690257
2018-07-04 22:30:50,16.43249444591981
2018-07-04 22:40:50,16.38247669528523
2018-07-04 22:50:50,16.335307660431
2018-07-04 23:00:50,16.277176160399726
2018-07-04 23:10:50,16.230926962787947
2018-07-04 23:20:50,16.1936236474599
2018-07-04 23:30:50,16.139267580184075
2018-07-04 23:40:50,16.09931904269214
2018-07-04 23:50:50,16.041374038494833
2018-07-05 00:00:50,16.020050465207238
2018-07-05 00:10:50,15.963413379346827
2018-07-05 00:20:50,15.937536459432113
2018-07-05 00:30:50,15.911126170617983
2018-07-05 00:40:50,15.890979351668836
2018-07-05 00:50:50,15.866333943228199
2018-07-05 01:00:50,15.835241446343995
2018-07-05 01:10:50,15.81449724524905
2018-07-05 01:20:50,15.803138458044774
2018-07-05 01:30:50,15.806493073640393
2018-07-05 01:40:50,15.815764090560979
2018-07-05 01:50:50,15.81722555532547
2018-07-05 02:00:50,15.79974562411193
2018-07-05 02:10:50,15.79131851403622
2018-07-05 02:20:50,15.788635928205453
2018-07-05 02:30:50,15.79573785148143
2018-07-05 02:40:50,15.798847498229726
2018-07-05 02:50:50,15.7982282523978
2018-07-05 03:00:50,15.805192988905537
2018-07-05 03:10:50,15.818989625309749
2018-07-05 03:20:50,15.81344951324207
2018-07-05 03:30:50,15.836924784928005
2018-07-05 03:40:50,15.853762829660944
2018-07-05 03:50:50,15.868854911617971
2018-07-05 04:00:50,15.883933506817764
2018-07-05 04:10:50,15.88995859903061
2018-07-05 04:20:50,15.917573016462882
2018-07-05 04:30:50,15.937781885835307
2018-07-05 04:40:50,15.958041684638514
2018-07-05 04:50:50,16.01873119854772
2018-07-05 05:00:50,16.0550998383503
2018-07-05 05:10:50,16.110390781780723
2018-07-05 05:20:50,16.157729338921563
2018-07-05 05:30:50,16.235821801488417
2018-07-05 05:40:50,16.33846022771833
2018-07-05 05:50:50,16.40963986541903
2018-07-05 06:00:50,16.481924301054352
2018-07-05 06:10:50,16.587344160936823
2018-07-05 06:20:50,16.68605587439476
2018-07-05 06:30:50,16.795741539610738
2018-07-05 06:40:50,16.895043949668704
2018-07-05 06:50:50,17.018842959761844
2018-07-05 07:00:50,17.136919753280253
2018-07-05 07:10:50,17.23055749809242
2018-07-05 07:20:50,17.38135923120805
2018-07-05 07:30:50,17.49880058739382
2018-07-05 07:40:50,17.606920194163713
2018-07-05 07:50:50,17.71778114379221
2018-07-05 08:00:50,17.851888075758083
2018-07-05 08:10:50,17.95293566527591
2018-07-05 08:20:50,18.02692568285117
2018-07-05 08:30:50,18.10393316468792
2018-07-05 08:40:50,18.203425135784848
2018-07-05 08:50:50,18.312980063647707
2018-07-05 09:00:50,18.336943241334303
2018-07-05 09:10:50,18.41996279488307
2018-07-05 09:20:50,18.4899946634279
2018-07-05 09:30:50,18.5206625224897
2018-07-05 09:40:50,18.565089969809236
2018-07-05 09:50:50,18.589756553974564
2018-07-05 10:00:50,18.59186080346732
2018-07-05 10:10:50,18.628494734942677
2018-07-05 10:20:50,18.622153575329495
