,mean,pi_lower,pi_upper
2023-05-14 18:09:00,83.39950294704997,73.06847645424179,93.73052943985815
2023-05-14 18:09:30,99.6418108442353,89.31078435142712,109.97283733704347
2023-05-14 18:10:00,119.36854252418168,100.57759244562254,138.1594926027408
2023-05-14 18:10:30,122.20512865805972,93.38073130992197,151.02952600619747
2023-05-14 18:11:00,117.59798423457319,78.02648027333046,157.16948819581592
2023-05-14 18:11:30,118.86849654396646,68.23217360272204,169.50481948521087
2023-05-14 18:12:00,130.78448357385383,68.99237414283999,192.57659300486768
2023-05-14 18:12:30,152.8037831605876,79.90672816558724,225.70083815558797
2023-05-14 18:13:00,182.61654170052088,98.75692785275767,266.4761555482841
2023-05-14 18:13:30,217.68519100023994,123.0645830809954,312.30579891948446
2023-05-14 18:14:00,256.70304414162104,151.56036008459222,361.84572819864985
2023-05-14 18:14:30,299.1505641874557,183.74697716368246,414.55415121122894
2023-05-14 18:15:00,345.9087917788456,220.51714576196645,471.3004377957248
2023-05-14 18:15:30,399.06048875253384,263.95784366155567,534.163133843512
2023-05-14 18:16:00,456.9401182311704,312.4025133886445,601.4777230736963
2023-05-14 18:16:30,515.3730832186191,361.67189655124275,669.0742698859954
2023-05-14 18:17:00,575.217725759539,412.6171918522923,737.8182596667857
2023-05-14 18:17:30,638.4015039625133,467.1570782604317,809.6459296645949
2023-05-14 18:18:00,700.8568024900194,521.2141445140448,880.4994604659939
2023-05-14 18:18:30,757.4399604511653,569.6343692447705,945.2455516575602
2023-05-14 18:19:00,811.180961858984,615.4371402250592,1006.9247834929088
2023-05-14 18:19:30,867.3133183625981,663.8453740274931,1070.7812626977031
2023-05-14 18:20:00,920.5641623262438,709.5757774355159,1131.5525472169718
2023-05-14 18:20:30,964.4967336252636,746.1814512740316,1182.8120159764956
2023-05-14 18:21:00,1003.3144344596883,777.8560239108264,1228.7728450085501
2023-05-14 18:21:30,1042.4954039159118,810.0682759062563,1274.9225319255672
2023-05-14 18:22:00,1078.313865109406,839.0835160087314,1317.5442142100803
2023-05-14 18:22:30,1106.0684771124554,860.1919462790988,1351.945007945812
2023-05-14 18:23:00,1129.3074323751546,876.9337612847145,1381.6811034655946
2023-05-14 18:23:30,1152.0048269493143,893.2755118846469,1410.7341420139817
2023-05-14 18:24:00,1171.170910038236,906.2203425638455,1436.1214775126264
2023-05-14 18:24:30,1183.6053108429273,912.5612021285597,1454.649419557295
2023-05-14 18:25:00,1191.7300708056596,914.7138572517176,1468.7462843596015
2023-05-14 18:25:30,1199.0262589678152,916.1534876251924,1481.899030310438
2023-05-14 18:26:00,1203.6812599814207,915.0619530316017,1492.3005669312397
2023-05-14 18:26:30,1205.8821934118178,911.6211915418587,1500.1431952817768
2023-05-14 18:27:00,1209.3506464570803,909.5479313762212,1509.1533615379394
2023-05-14 18:27:30,1213.5885695155812,908.3395661526688,1518.8375728784936
2023-05-14 18:28:00,1215.5631637349059,904.9590228570094,1526.1673046128024
2023-05-14 18:28:30,1216.599725901388,900.7275880259759,1532.4718637768
2023-05-14 18:29:00,1220.612836355301,899.5560779081475,1541.6695948024544
2023-05-14 18:29:30,1228.350558738787,902.1890214505227,1554.5120960270513
2023-05-14 18:30:00,1236.217257472015,905.0274620180953,1567.4070529259347
2023-05-14 18:30:30,1241.7310921983376,905.5864370779894,1577.8757473186856
2023-05-14 18:31:00,1246.8031225630264,905.7740691884636,1587.832175937589
2023-05-14 18:31:30,1251.6068215753335,905.7610665078196,1597.4525766428474
2023-05-14 18:32:00,1256.5665602116756,905.9691954393678,1607.1639249839832
2023-05-14 18:32:30,1262.9596741399062,907.6733362465031,1618.2460120333092
2023-05-14 18:33:00,1273.296030608392,913.3810396334314,1633.2110215833522
2023-05-14 18:33:30,1285.2399607495165,920.7544494922158,1649.7254720068172
2023-05-14 18:34:00,1294.4494529165843,925.4494873864838,1663.4494184466848
2023-05-14 18:34:30,1297.3287171610154,923.8684088311501,1670.7890254908807
2023-05-14 18:35:00,1299.7495314989908,921.8811419714316,1677.61792102655
